name,price_text,price_value,currency,url,gem_type,weight_carat,clarity,size_mm,colour,shape_cut,treatment,scraped_at,raw_description_text
3.09ct Natural Blue Sapphire,"Rs 1,214,300.00",1214300.0,LKR,https://wijayagems.com/products/3-09ct-natural-blue-sapphire,Natural Blue Sapphire,3.09,Eye Clean Size,10.10 x 7.40 x 5.30 mm,Medium Blue Shape,Pear Treatment,Heated Videos are available upon request,2025-09-01T11:46:07.916962+00:00,"Gem type: Natural  Blue Sapphire
Weight: 3.09 carat
Clarity: Eye Clean
Size: 10.10 x 7.40 x 5.30 mm
Colour: Medium
Blue
Shape & Cut: Pear
Treatment: Heated
Videos are available upon request."
2.56ct Natural Blue Sapphire,"Rs 802,100.00",802100.0,LKR,https://wijayagems.com/products/2-56ct-natural-blue-sapphire,Natural Blue Sapphire,2.56,Eye Clean Size,9.00 x 7.00 mm,Medium Blue Shape,Oval Treatment,Heated Videos are available upon request,2025-09-01T11:46:20.624153+00:00,"Gem type: Natural  Blue Sapphire
Weight: 2.56 carat
Clarity: Eye Clean
Size: 9.00 x 7.00 mm
Colour: Medium
Blue
Shape & Cut: Oval
Treatment: Heated
Videos are available upon request."
2.69ct Natural Blue Sapphire,"Rs 1,893,800.00",1893800.0,LKR,https://wijayagems.com/products/2-69ct-natural-blue-sapphire-1,Natural Blue Sapphire,2.69,Eye Clean Size,8.1 mm,Medium Blue Shape,Round Treatment,Heated Videos are available upon request,2025-09-01T11:46:27.773042+00:00,"Gem type: Natural  Blue Sapphire
Weight: 2.69 carat
Clarity: Eye Clean
Size: 8.1 mm
Colour: Medium
Blue
Shape & Cut: Round
Treatment: Heated
Videos are available upon request."
2.87ct Natural Blue Sapphire,"Rs 902,400.00",902400.0,LKR,https://wijayagems.com/products/2-87ct-natural-blue-sapphire,Natural Blue Sapphire,2.87,Loupe Clean Size,8.50 x 7.20 x 5.00 mm,Light Blue Shape,Oval Treatment,Heated Videos are available upon request,2025-09-01T11:46:34.916199+00:00,"Gem type: Natural  Blue Sapphire
Weight: 2.87 carat
Clarity: Loupe Clean
Size: 8.50 x 7.20 x 5.00 mm
Colour: Light Blue
Shape & Cut: Oval
Treatment: Heated
Videos are available upon request."
2.64ct Natural Blue Sapphire,"Rs 623,900.00",623900.0,LKR,https://wijayagems.com/products/2-64ct-natural-blue-sapphire,Natural Blue Sapphire,2.64,Eye Clean Size,8.9 x 7.9mm,Medium Blue Shape,Cushion Treatment,Heated Videos are available upon request,2025-09-01T11:46:41.819614+00:00,"Gem type: Natural  Blue Sapphire
Weight: 2.64 carat
Clarity: Eye Clean
Size: 8.9 x 7.9mm
Colour: Medium Blue
Shape & Cut: Cushion
Treatment: Heated
Videos are available upon request."
2.54ct Natural Blue Sapphire,"Rs 1,002,600.00",1002600.0,LKR,https://wijayagems.com/products/2-54ct-natural-blue-sapphire,Natural Blue Sapphire,2.54,Eye Clean Size,9.00 x 6.20 x 4.60mm,Cornflower blue Shape,Oval Treatment,Heated Videos are available upon request,2025-09-01T11:46:48.836634+00:00,"Gem type: Natural  Blue Sapphire
Weight: 2.54 carat
Clarity: Eye Clean
Size: 9.00 x 6.20 x 4.60mm
Colour: Cornflower blue
Shape & Cut: Oval
Treatment: Heated
Videos are available upon request."
1.73ct Natural Blue Sapphire,"Rs 1,615,300.00",1615300.0,LKR,https://wijayagems.com/products/1-73ct-natural-blue-sapphire,Natural Blue Sapphire,1.73,Eye Clean Size,8.40 x 6.10 x 3.90mm,Cornflower blue Shape,Oval Treatment,Heated Videos are available upon request,2025-09-01T11:46:56.032301+00:00,"Gem type: Natural  Blue Sapphire
Weight: 1.73 carat
Clarity: Eye Clean
Size: 8.40 x 6.10 x 3.90mm
Colour: Cornflower blue
Shape & Cut: Oval
Treatment: Heated
Videos are available upon request."
2.28ct Natural Blue Sapphire,"Rs 1,440,900.00",1440900.0,LKR,https://wijayagems.com/products/2-28ct-natural-blue-sapphire,Natural Blue Sapphire,2.28,Eye Clean Size,9.50 x 6.20 x 5.00mm,Royal blue Shape,Pear Treatment,Heated Certificate,2025-09-01T11:47:01.225572+00:00,"Gem type: Natural  Blue Sapphire
Weight: 2.28 carat
Clarity: Eye Clean
Size: 9.50 x 6.20 x 5.00mm
Colour: Royal blue
Shape & Cut: Pear
Treatment: Heated
Certificate: FGL-10090
Videos are available upon request."
1.66ct Natural Blue Sapphire,"Rs 590,500.00",590500.0,LKR,https://wijayagems.com/products/1-66ct-natural-blue-sapphire,Natural Blue Sapphire,1.66,Loupe Clean Size,7.50 x 6.10mm,Blue Shape,Cushion,Heated Videos are available upon request,2025-09-01T11:47:09.028225+00:00,"Gem type: Natural  Blue Sapphire
Weight: 1.66 carat
Clarity: Loupe Clean
Size: 7.50 x 6.10mm
Colour: Blue
Shape & Cut: Cushion/ Step Cut
Treatment: Heated
Videos are available upon request."
2.19ct Natural Unheated Blue Sapphire,"Rs 1,038,300.00",1038300.0,LKR,https://wijayagems.com/products/2-19ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,2.19,Eye Clean Size,8.20 x 7.90 x 4.50mm,Royal blue Shape,Pear Treatment,Unheated Certificate,2025-09-01T11:47:15.268376+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 2.19 carat
Clarity: Eye Clean
Size: 8.20 x 7.90 x 4.50mm
Colour: Royal blue
Shape & Cut: Pear
Treatment: Unheated
Certificate: GGTL-88164"
5.08ct Natural Blue Sapphire,"Rs 2,227,800.00",2227800.0,LKR,https://wijayagems.com/products/5-08ct-natural-unheated-blue-sapphire-1,Natural Blue Sapphire,5.08,Loupe Clean Size,13.8 x 8.01 x 4.9mm,Dark Blue Shape,Fancy Treatment,Heated Certificate,2025-09-01T11:47:23.011401+00:00,"Gem type: Natural Blue Sapphire
Weight: 5.08 carat
Clarity: Loupe Clean
Size: 13.8 x  8.01 x 4.9mm
Colour: Dark Blue
Shape & Cut: Fancy
Treatment: Heated
Certificate: WG-148 .
Videos are available upon request."
1.61ct Natural Unheated Blue Sapphire,"Rs 857,800.00",857800.0,LKR,https://wijayagems.com/products/1-61ct-natural-unheated-blue-sapphire-1,Natural Unheated Blue Sapphire,1.61,Loupe Clean Size,6.9 x 5.7 x 4.8mm,Good Colour Shape,Cushion Treatment,Unheated,2025-09-01T11:47:30.684757+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 1.61 carat
Clarity: Loupe Clean
Size: 6.9 x 5.7 x 4.8mm
Colour: Good Colour
Shape & Cut: Cushion
Treatment: Unheated .
Videos are available upon request."
2.18ct Natural Unheated Blue Sapphire,"Rs 746,400.00",746400.0,LKR,https://wijayagems.com/products/2-18ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,2.18,Eye Clean Size,7.5 x 7.3mm,Good Colour Shape,Cushion Treatment,Unheated,2025-09-01T11:47:37.130255+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 2.18 carat
Clarity: Eye Clean
Size: 7.5 x 7.3mm
Colour: Good Colour
Shape & Cut: Cushion
Treatment: Unheated  .
Videos are available upon request."
3.56ct Natural Unheated Blue Sapphire,"Rs 2,227,800.00",2227800.0,LKR,https://wijayagems.com/products/3-56ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,3.56,Eye Clean Size,8.8 x 8.64 x 4.83mm,Cornflower Blue Shape,Cushion Treatment,Unheated Certificate,2025-09-01T11:47:43.034140+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 3.56 carat
Clarity: Eye Clean
Size: 8.8 x 8.64 x 4.83mm
Colour: Cornflower Blue
Shape & Cut: Cushion
Treatment: Unheated
Certificate: ICA1711093 .
Videos are available upon request."
1.16ct Natural Blue Sapphire,"Rs 584,900.00",584900.0,LKR,https://wijayagems.com/products/1-16ct-natural-blue-sapphire-1,Natural Blue Sapphire,1.16,Loupe Clean Size,8.41 x 5.47 x 3.2mm,Royal Blue Shape,Pear Treatment,Heated Certificate,2025-09-01T11:47:48.821880+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.16 carat
Clarity: Loupe Clean
Size: 8.41 x 5.47 x 3.2mm
Colour: Royal Blue
Shape & Cut: Pear
Treatment: Heated
Certificate: FK8-959 .
Videos are available upon request."
1.01ct Natural Unheated Blue Sapphire,"Rs 768,700.00",768700.0,LKR,https://wijayagems.com/products/1-0ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,1.01,Eye Clean Size,6.2mm,Royal Blue Shape,Round Treatment,Unheated,2025-09-01T11:47:55.019257+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 1.01 carat
Clarity: Eye Clean
Size: 6.2mm
Colour: Royal Blue
Shape & Cut: Round
Treatment: Unheated ."
1.08ct Natural Unheated Blue Sapphire,"Rs 501,300.00",501300.0,LKR,https://wijayagems.com/products/1-08ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,1.08,Eye Clean Size,7.8 x 5.36 x 3.23mm,Royal Blue Shape,Oval,Unheated Certificate,2025-09-01T11:48:03.446310+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 1.08 carat
Clarity: Eye Clean
Size: 7.8 x 5.36 x 3.23mm
Colour: Royal Blue
Shape & Cut: Oval/ Step
Treatment: Unheated
Certificate: WG-412 ."
1.36ct Natural Unheated Blue Sapphire,"Rs 935,800.00",935800.0,LKR,https://wijayagems.com/products/1-36ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,1.36,Eye Clean Size,8.2 x 6mm,Cornflower Blue Shape,Oval,Unheated,2025-09-01T11:48:10.507058+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 1.36 carat
Clarity: Eye Clean
Size: 8.2 x 6mm
Colour: Cornflower Blue
Shape & Cut: Oval/ Step
Treatment: Unheated ."
2.14ct Natural Unheated Blue Sapphire,"Rs 1,303,400.00",1303400.0,LKR,https://wijayagems.com/products/2-14ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,2.14,Eye Clean Size,9 x 6.7 x 3.7mm,Cornflower Blue Shape,Oval,Unheated,2025-09-01T11:48:17.641243+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 2.14 carat
Clarity: Eye Clean
Size: 9 x 6.7 x 3.7mm
Colour: Cornflower Blue
Shape & Cut: Oval/ Step
Treatment: Unheated .
Certificate: TGC-3950"
1.61ct Natural Unheated Blue Sapphire,"Rs 980,300.00",980300.0,LKR,https://wijayagems.com/products/1-61ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,1.61,Loupe Clean Size,8.7 x 5.9 x 3.5mm,Cornflower Blue Shape,Oval,Unheated Certificate,2025-09-01T11:48:24.991751+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 1.61 carat
Clarity: Loupe Clean
Size: 8.7 x 5.9 x 3.5mm
Colour: Cornflower Blue
Shape & Cut: Oval/ Step
Treatment: Unheated
Certificate: FK9-471 ."
1.71ct Natural Unheated Blue Sapphire,"Rs 779,800.00",779800.0,LKR,https://wijayagems.com/products/1-71ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,1.71,Eye Clean Size,7.9 x 6.4 x 4.5mm,Good Colour Shape,Oval,Unheated Certificate,2025-09-01T11:48:32.196806+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 1.71 carat
Clarity: Eye Clean
Size: 7.9 x 6.4 x 4.5mm
Colour: Good Colour
Shape & Cut: Oval/ Step
Treatment: Unheated
Certificate: WG-717 ."
2.04ct Natural Unheated Blue Sapphire,"Rs 1,013,800.00",1013800.0,LKR,https://wijayagems.com/products/2-04ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,2.04,Eye Clean Size,8.7 x 7 x 3.7mm,Cornflower Blue Shape,Oval,Unheated Certificate,2025-09-01T11:48:38.390925+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 2.04 carat
Clarity: Eye Clean
Size: 8.7 x 7 x 3.7mm
Colour: Cornflower Blue
Shape & Cut: Oval/ Step
Treatment: Unheated
Certificate: WG-635"
1.96ct Natural Unheated Blue Sapphire,"Rs 1,348,000.00",1348000.0,LKR,https://wijayagems.com/products/1-96ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,1.96,Eye Clean Size,6.5 mm,Cornflower Blue Shape,Round Treatment,Unheated,2025-09-01T11:48:44.178990+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 1.96 carat
Clarity: Eye Clean
Size: 6.5
mm
Colour: Cornflower Blue
Shape & Cut: Round
Treatment: Unheated ."
2.23ct Natural Unheated Blue Sapphire,"Rs 1,492,800.00",1492800.0,LKR,https://wijayagems.com/products/2-23ct-natural-unheated-blue-sapphire-1,Natural Unheated Blue Sapphire,2.23,Eye Clean Size,6.8 mm,Cornflower Blue Shape,Round Treatment,Unheated,2025-09-01T11:48:52.069380+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 2.23 carat
Clarity: Eye Clean
Size: 6.8
mm
Colour: Cornflower Blue
Shape & Cut: Round
Treatment: Unheated ."
2.23ct Natural Unheated Blue Sapphire,"Rs 857,800.00",857800.0,LKR,https://wijayagems.com/products/2-23ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,2.23,Eye Clean Size,9.07 x 7.08 x 4.08 mm,Cornflower Blue Shape,Oval,Unheated Certificate,2025-09-01T11:49:08.586093+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 2.23 carat
Clarity: Eye Clean
Size: 9.07 x 7.08 x 4.08
mm
Colour: Cornflower Blue
Shape & Cut: Oval/ Step
Treatment: Unheated
Certificate: ICA171111 ."
2.37ct Natural Unheated Blue Sapphire,"Rs 813,200.00",813200.0,LKR,https://wijayagems.com/products/2-37ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,2.37,Eye Clean Size,8.99 x 6.37 x 4.54 mm,Medium Blue Shape,Oval,Unheated Certificate,2025-09-01T11:49:14.093021+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 2.37 carat
Clarity: Eye Clean
Size: 8.99 x 6.37 x 4.54
mm
Colour: Medium Blue
Shape & Cut: Oval/ Step
Treatment: Unheated
Certificate: ICA171091 ."
2.57ct Natural Unheated Blue Sapphire,"Rs 1,180,900.00",1180900.0,LKR,https://wijayagems.com/products/2-57ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,2.57,Eye Clean Size,8.7x 6.4 x 4.7 mm,Medium Blue Shape,Oval,Unheated Certificate,2025-09-01T11:49:21.100638+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 2.57 carat
Clarity: Eye Clean
Size: 8.7x 6.4 x 4.7
mm
Colour: Medium Blue
Shape & Cut: Oval/ Step
Treatment: Unheated
Certificate: FK9-497 ."
2.66ct Natural Unheated Blue Sapphire,"Rs 1,013,800.00",1013800.0,LKR,https://wijayagems.com/products/2-66ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,2.66,Eye Clean Size,9.02 x 6.86 x 5.12 mm,Medium Blue Shape,Oval,Unheated Certificate,2025-09-01T11:49:29.541789+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 2.66 carat
Clarity: Eye Clean
Size: 9.02 x 6.86 x 5.12
mm
Colour: Medium Blue
Shape & Cut: Oval/ Step
Treatment: Unheated
Certificate: ICA171094"
2.71ct Natural Unheated Blue Sapphire,"Rs 1,648,700.00",1648700.0,LKR,https://wijayagems.com/products/2-71ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,2.71,Eye Clean Size,9.5 x 6.8 x4.4 mm,Colour Change Blue to Purple Shape,Oval,Unheated Certificate,2025-09-01T11:49:34.920602+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 2.71 carat
Clarity: Eye Clean
Size: 9.5 x 6.8 x4.4
mm
Colour: Colour Change Blue to Purple
Shape & Cut: Oval/ Step
Treatment: Unheated
Certificate: FK5-960 ."
2.75ct Natural Unheated Blue Sapphire,"Rs 1,047,200.00",1047200.0,LKR,https://wijayagems.com/products/2-75ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,2.75,Eye Clean Size,9.87 x 6.9 x 4.19 mm,Medium Blue Shape,Oval,Unheated Certificate,2025-09-01T11:49:41.199008+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 2.75 carat
Clarity: Eye Clean
Size: 9.87 x 6.9 x 4.19
mm
Colour: Medium Blue
Shape & Cut: Oval/ Step
Treatment: Unheated
Certificate: ICA171117"
3.66ct Natural Unheated Blue Sapphire,"Rs 1,960,600.00",1960600.0,LKR,https://wijayagems.com/products/3-66ct-natural-unheated-blue-sapphire,Natural Unheated Blue Sapphire,3.66,Eye Clean Size,9.81 x 8.21 x 5.45 mm,Cornflower Blue Shape,Oval,Unheated Certificate,2025-09-01T11:49:46.729702+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 3.66 carat
Clarity: Eye Clean
Size: 9.81 x 8.21 x 5.45
mm
Colour: Cornflower Blue
Shape & Cut: Oval/ Step
Treatment: Unheated
Certificate: ICA171099 ."
2.48ct Natural Blue Sapphire,"Rs 1,645,800.00",1645800.0,LKR,https://wijayagems.com/products/2-48ct-natural-blue-sapphire,Natural Blue Sapphire,2.48,Loupe Clean Size,8.89 x 6.44 x 4.86 mm,Cornflower Blue Shape,Cushion Treatment,Heated Certificacte,2025-09-01T11:49:53.855916+00:00,"Gem type: Natural Blue Sapphire
Weight: 2.48 carat
Clarity: Loupe Clean
Size: 8.89 x 6.44 x 4.86
mm
Colour: Cornflower Blue
Shape & Cut: Cushion
Treatment: Heated
Certificacte: FK9-809 ."
1.84ct Natural Blue Sapphire,"Rs 1,017,300.00",1017300.0,LKR,https://wijayagems.com/products/1-84ct-natural-blue-sapphire,Natural Blue Sapphire,1.84,Loupe Clean Size,8.20 x 5.79 x 4.05 mm,Royal Blue Shape,Cushion Treatment,Heated Certificacte,2025-09-01T11:49:59.608357+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.84 carat
Clarity: Loupe Clean
Size: 8.20 x 5.79 x 4.05
mm
Colour: Royal Blue
Shape & Cut: Cushion
Treatment: Heated
Certificacte: FK8-957 ."
4.99ct Natural Blue Sapphire,"Rs 2,227,800.00",2227800.0,LKR,https://wijayagems.com/products/4-99ct-natural-blue-sapphire-1,Natural Blue Sapphire,4.99,Eye Clean Size,9.9 x 7.3 x 6.9mm,Royal Blue Shape,Cushion Treatment,Heated,2025-09-01T11:50:05.657611+00:00,"Gem type: Natural Blue Sapphire
Weight: 4.99 carat
Clarity: Eye Clean
Size: 9.9 x 7.3 x 6.9mm
Colour: Royal Blue
Shape & Cut: Cushion
Treatment: Heated  ."
2.23ct Natural Blue Sapphire,"Rs 1,114,000.00",1114000.0,LKR,https://wijayagems.com/products/2-23ct-natural-blue-sapphire-2,Natural Blue Sapphire,2.23,Eye Clean Size,8.9 x 7 x 4.6mm,Royal Blue Shape,Pear Treatment,Heated Certificacte,2025-09-01T11:50:12.206372+00:00,"Gem type: Natural Blue Sapphire
Weight: 2.23 carat
Clarity: Eye Clean
Size: 8.9 x 7 x 4.6mm
Colour: Royal Blue
Shape & Cut: Pear
Treatment: Heated
Certificacte: GGTL-88158 ."
2.08ct Natural Blue Sapphire,"Rs 1,648,700.00",1648700.0,LKR,https://wijayagems.com/products/2-08ct-natural-blue-sapphire-1,Natural Blue Sapphire,2.08,Loupe Clean Size,8.8 x 6.72 x 3.89mm,Cornlflower Blue Shape,Cushion Treatment,Heated Certificacte,2025-09-01T11:50:17.670073+00:00,"Gem type: Natural Blue Sapphire
Weight: 2.08 carat
Clarity: Loupe Clean
Size: 8.8 x 6.72 x 3.89mm
Colour: Cornlflower Blue
Shape & Cut: Cushion
Treatment: Heated
Certificacte: FK9-730"
2.03ct Natural Blue Sapphire,"Rs 1,303,400.00",1303400.0,LKR,https://wijayagems.com/products/2-07ct-natural-blue-sapphire-2,Natural Blue Sapphire,2.03,Eye Clean Size,8.22 x 5.22 x 4.7mm,Cornlflower Blue Shape,Cushion Treatment,Heated Certificacte,2025-09-01T11:50:23.278627+00:00,"Gem type: Natural Blue Sapphire
Weight: 2.03 carat
Clarity: Eye Clean
Size: 8.22 x 5.22 x 4.7mm
Colour: Cornlflower Blue
Shape & Cut: Cushion
Treatment: Heated
Certificacte: FK9-808 ."
2.07ct Natural Blue Sapphire,"Rs 817,500.00",817500.0,LKR,https://wijayagems.com/products/2-07ct-natural-blue-sapphire-1,Natural Blue Sapphire,2.07,Eye Clean Size,8.5 x 6.4 x 3.6mm,Royal Blue Shape,Cushion Treatment,Heated,2025-09-01T11:50:30.127539+00:00,"Gem type: Natural Blue Sapphire
Weight: 2.07 carat
Clarity: Eye Clean
Size: 8.5 x 6.4 x 3.6mm
Colour: Royal Blue
Shape & Cut: Cushion
Treatment: Heated ."
2.14ct Natural Blue Sapphire,"Rs 1,014,200.00",1014200.0,LKR,https://wijayagems.com/products/2-14ct-natural-blue-sapphire-1,Natural Blue Sapphire,2.14,Eye Clean Size,8.2 x 6.01 x 4.92mm,Cornflower Blue Shape,Cushion Treatment,Heated Certificate,2025-09-01T11:50:36.023812+00:00,"Gem type: Natural Blue Sapphire
Weight: 2.14 carat
Clarity: Eye Clean
Size: 8.2 x 6.01 x 4.92mm
Colour: Cornflower Blue
Shape & Cut: Cushion
Treatment: Heated
Certificate: WG1029 ."
2.80ct Natural Blue Sapphire,"Rs 2,127,700.00",2127700.0,LKR,https://wijayagems.com/products/2-80ct-natural-blue-sapphire,Natural Blue Sapphire,2.80,Loupe Clean Size,9.18 x 6.6 x 5.19mm,Cornflower Blue Shape,Cushion Treatment,Heated Certificate,2025-09-01T11:50:42.687022+00:00,"Gem type: Natural Blue Sapphire
Weight: 2.80 carat
Clarity: Loupe Clean
Size: 9.18 x 6.6 x 5.19mm
Colour: Cornflower Blue
Shape & Cut: Cushion
Treatment: Heated
Certificate: FL-403 ."
1.09ct Natural Unheated Blue Sapphire,"Rs 423,400.00",423400.0,LKR,https://wijayagems.com/products/1-09ct-natural-unheated-blue-sapphire-1,Natural Unheated Blue Sapphire,1.09,Eye Clean Size,7.15 x 5.02 x 3.6mm,Cornflower Blue Shape,Step,Unheated,2025-09-01T11:50:50.582826+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 1.09 carat
Clarity: Eye Clean
Size: 7.15 x 5.02 x 3.6mm
Colour: Cornflower Blue
Shape & Cut: Step/Oval
Treatment: Unheated"
3.22ct Natural Blue Sapphire,"Rs 245,100.00",245100.0,LKR,https://wijayagems.com/products/3-22ct-natural-blue-sapphire,Natural Blue Sapphire,3.22,Eye Clean Size,9.7 x 6.5 x 4.7mm,Medium Blue Shape,Cabochon Treatment,Heated,2025-09-01T11:50:57.961843+00:00,"Gem type: Natural Blue Sapphire
Weight: 3.22 carat
Clarity: Eye Clean
Size: 9.7 x 6.5 x 4.7mm
Colour: Medium Blue
Shape & Cut: Cabochon
Treatment: Heated ."
1.02ct Natural Blue Sapphire,"Rs 389,900.00",389900.0,LKR,https://wijayagems.com/products/1-02-ct-natural-blue-sappphire-1,Natural Blue Sapphire,1.02,Eye Clean Size,6.32 x 5.13 x 3.58 mm,Cornflower Blue Shape,Oval,Heated Certificate,2025-09-01T11:51:04.787677+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.02 carat
Clarity: Eye Clean
Size: 6.32 x 5.13 x 3.58 mm
Colour: Cornflower Blue
Shape & Cut: Oval/Step
Treatment: Heated
Certificate: FK5-431"
0.97ct Natural Blue Sapphire,"Rs 267,400.00",267400.0,LKR,https://wijayagems.com/products/0-97-ct-natural-blue-sappphire,Natural Blue Sapphire,0.97,Eye Clean Size,6.5 x 5.2 mm,Royal Blue Shape,Oval,Heated Certificate,2025-09-01T11:51:11.891012+00:00,"Gem type: Natural Blue Sapphire
Weight: 0.97 carat
Clarity: Eye Clean
Size: 6.5 x 5.2 mm
Colour: Royal Blue
Shape & Cut: Oval/Step
Treatment: Heated
Certificate: GGTL-88171"
0.95ct Natural Blue Sapphire,"Rs 367,700.00",367700.0,LKR,https://wijayagems.com/products/0-95-ct-natural-blue-sappphire,Natural Blue Sapphire,0.95,Loupe Clean Size,7.1 x 5.9 mm,Royal Blue Shape,Oval,Heated Certificate,2025-09-01T11:51:19.290333+00:00,"Gem type: Natural Blue Sapphire
Weight: 0.95 carat
Clarity: Loupe Clean
Size: 7.1 x 5.9 mm
Colour: Royal Blue
Shape & Cut: Oval/Step
Treatment: Heated
Certificate: GGTL-88174"
1.04ct Natural Blue Sapphire,"Rs 245,100.00",245100.0,LKR,https://wijayagems.com/products/1-04-ct-natural-blue-sappphire,Natural Blue Sapphire,1.04,Eye Clean Size,6.4 x 5.3 mm,Royal Blue Shape,Oval,Heated,2025-09-01T11:51:27.303860+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.04 carat
Clarity: Eye Clean
Size: 6.4 x 5.3 mm
Colour: Royal Blue
Shape & Cut: Oval/Step
Treatment: Heated ."
1.09ct Natural Blue Sapphire,"Rs 289,700.00",289700.0,LKR,https://wijayagems.com/products/1-09-ct-natural-blue-sappphire,Natural Blue Sapphire,1.09,Eye Clean Size,6.8x 5 x 3.6 mm,Good Colour Shape,Oval,Heated,2025-09-01T11:51:33.749030+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.09 carat
Clarity: Eye Clean
Size: 6.8x 5 x 3.6 mm
Colour: Good Colour
Shape & Cut: Oval/Step
Treatment: Heated ."
1.14ct Natural Blue Sapphire,"Rs 434,500.00",434500.0,LKR,https://wijayagems.com/products/1-14-ct-natural-blue-sappphire,Natural Blue Sapphire,1.14,Eye Clean Size,7.6 x 5 x 3.2 mm,Royal Blue Shape,Oval,Heated Certificate,2025-09-01T11:51:41.929657+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.14 carat
Clarity: Eye Clean
Size: 7.6 x 5 x 3.2 mm
Colour: Royal Blue
Shape & Cut: Oval/Step
Treatment: Heated
Certificate: WG-866 ."
1.20ct Natural Blue Sapphire,"Rs 646,200.00",646200.0,LKR,https://wijayagems.com/products/1-20-ct-natural-blue-sappphire,Natural Blue Sapphire,1.20,Eye Clean Size,7.5 x 6 mm,Cornflower Blue Shape,Oval,Heated,2025-09-01T11:51:54.600545+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.20 carat
Clarity: Eye Clean
Size: 7.5 x 6 mm
Colour: Cornflower Blue
Shape & Cut: Oval/Step
Treatment: Heated ."
1.21ct Natural Blue Sapphire,"Rs 467,900.00",467900.0,LKR,https://wijayagems.com/products/1-21-ct-natural-blue-sappphire,Natural Blue Sapphire,1.21,Eye Clean Size,7.2 x 5.7 x 3.67 mm,Cornflower Blue Shape,Oval,Heated Certificate,2025-09-01T11:52:01.062475+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.21 carat
Clarity: Eye Clean
Size: 7.2 x 5.7 x 3.67 mm
Colour: Cornflower Blue
Shape & Cut: Oval/Step
Treatment: Heated
Certificate: FK5-440 ."
1.23ct Natural Blue Sapphire,"Rs 467,900.00",467900.0,LKR,https://wijayagems.com/products/1-23-ct-natural-blue-sappphire-1,Natural Blue Sapphire,1.23,Eye Clean Size,7 x 5.5 x 3.5 mm,Cornflower Blue Shape,Oval,Heated Certificate,2025-09-01T11:52:06.570560+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.23 carat
Clarity: Eye Clean
Size: 7 x 5.5 x 3.5 mm
Colour: Cornflower Blue
Shape & Cut: Oval/Step
Treatment: Heated
Certificate: GGTL-88151-68 ."
